0 1.18826
1 0.463553
2 0.618161
3 0.739008
4 0.488022
5 0.782363
6 0.467055
7 0.382713
8 0.501021
9 0.704394
10 0.220324
11 0.534261
12 0.375181
13 0.317315
14 0.380718
15 0.541712
16 0.434042
17 0.518606
18 0.226408
19 0.373904
20 0.994675
21 0.356535
22 0.364991
23 0.53366
24 0.687881
25 0.717768
26 0.648511
27 0.722453
28 0.689049
29 0.474268
30 0.604557
31 0.603902
32 0.425842
33 0.915413
34 0.30252
35 0.570645
36 0.683294
37 0.908523
38 0.581878
39 0.41583
40 0.370117
41 0.467507
42 0.482809
43 0.305025
44 0.486129
45 0.471186
46 0.411579
47 0.578125
48 0.439662
49 1
50 0.44568
51 0.359339
52 0.719049
53 0.614607
54 0.617607
55 0.651511
56 0.303214
57 0.667422
58 0.73598
59 0.602281
60 0.631397
61 0.446235
62 0.402764
63 0.673496
64 0.738169
65 0.630296
66 0.67472
67 0.716319
68 0.561153
69 0.675426
70 0.252742
71 0.324054
72 0.287689
73 0.410866
74 0.365611
75 0.511643
76 0.191019
77 0.231417
78 1
79 0.220001
80 0.749625
81 0.2653
82 0.243801
83 0.249558
84 0.302231
85 0.221102
86 0.332241
87 0.311954
88 0.242149
89 0.492464
90 0.266004
91 0.951671
92 0.482535
93 0.437226
94 0.547573
95 0.541129
96 0.986139
97 1.22459
98 0.561969
99 0.929416
100 1.01001
101 0.766928
102 0.983512
103 1.15717
104 0.343241
105 0.704266
106 1.1421
107 0.400199
108 0.994053
